,timestamp,track,satisfaction,pacing,location,week
6,2016-07-31 15:23:52,,5,5,Tokyo,6
7,2016-07-31 16:49:45,,4,2,Tokyo,6
8,2016-08-01 01:18:47,,3,4,Tokyo,6
9,2016-08-01 01:30:17,,5,3,Tokyo,6
10,2016-08-01 01:30:17,,5,3,Tokyo,6
11,2016-08-01 06:15:10,,4,4,Tokyo,6
12,2016-08-01 07:56:08,,4,3,Tokyo,6
0,2016-07-08 06:21:11,Apps,4,3,NY,3
1,2016-07-08 06:21:29,Apps,5,3,NY,3
2,2016-07-08 06:21:35,Intro,4,3,NY,3
3,2016-07-08 06:21:46,Apps,5,3,NY,3
4,2016-07-08 06:22:10,Apps,4,2,NY,3
5,2016-07-08 06:22:35,Games,4,4,NY,3
6,2016-07-08 06:22:50,Intro,4,4,NY,3
7,2016-07-08 06:23:09,Apps,5,3,NY,3
8,2016-07-08 06:23:28,Games,4,4,NY,3
9,2016-07-08 06:23:49,Intro,4,4,NY,3
10,2016-07-08 06:23:50,Games,4,4,NY,3
11,2016-07-08 06:24:25,Apps,4,4,NY,3
12,2016-07-08 06:26:03,Apps,4,3,NY,3
13,2016-07-08 06:26:30,Games,4,3,NY,3
14,2016-07-08 06:26:40,Apps,5,4,NY,3
15,2016-07-08 06:26:49,Apps,4,3,NY,3
16,2016-07-08 06:27:01,Games,4,4,NY,3
17,2016-07-08 06:27:14,Games,5,4,NY,3
18,2016-07-08 06:27:31,Intro,4,4,NY,3
19,2016-07-08 06:27:49,Apps,4,4,NY,3
20,2016-07-08 06:28:49,Games,5,3,NY,3
21,2016-07-08 06:28:56,Intro,3,4,NY,3
22,2016-07-08 06:29:05,Apps,5,3,NY,3
23,2016-07-08 06:33:10,Apps,5,3,NY,3
24,2016-07-08 06:36:23,Intro,4,4,NY,3
25,2016-07-08 06:36:36,Games,5,3,NY,3
26,2016-07-08 06:38:24,Games,5,3,NY,3
27,2016-07-08 12:14:54,Apps,4,3,NY,3
0,2016-07-08 15:56:20,Apps,3,2,SF,3
1,2016-07-08 16:02:55,Apps,5,3,SF,3
2,2016-07-08 16:19:51,Apps,3,3,SF,3
3,2016-07-08 16:34:12,Apps,1,3,SF,3
4,2016-07-08 16:39:27,Apps,5,2,SF,3
5,2016-07-08 16:46:21,Apps,5,5,SF,3
6,2016-07-08 17:33:28,Apps,3,5,SF,3
7,2016-07-09 14:23:38,Apps,5,3,SF,3
8,2016-07-10 20:55:08,Apps,5,3,SF,3
9,2016-07-08 15:58:04,Games,5,3,SF,3
10,2016-07-08 16:08:03,Games,5,4,SF,3
11,2016-07-08 15:55:12,Intro,5,3,SF,3
12,2016-07-08 15:56:10,Intro,4,3,SF,3
13,2016-07-08 15:58:45,Intro,4,3,SF,3
14,2016-07-08 16:40:17,Intro,4,4,SF,3
15,2016-07-08 18:34:39,Intro,5,3,SF,3
16,2016-07-09 08:14:45,Intro,5,3,SF,3
17,2016-07-08 16:23:15,VR,5,3,SF,3
18,2016-07-08 16:27:30,VR,4,4,SF,3
19,2016-07-08 17:18:49,VR,1,5,SF,3
20,2016-07-08 19:14:34,VR,4,4,SF,3
21,2016-07-11 12:10:26,Intro,3,4,SF,3
22,2016-07-11 12:39:56,Intro,4,4,SF,3
0,2016-07-15 13:20:35,,5,3,LA,4
1,2016-07-15 13:22:22,,5,3,LA,4
2,2016-07-15 14:35:15,,5,3,LA,4
3,2016-07-15 15:05:10,,5,4,LA,4
4,2016-07-15 15:12:36,,3,3,LA,4
5,2016-07-15 16:59:37,,4,3,LA,4
6,2016-07-15 17:10:52,,4,3,LA,4
7,2016-07-15 19:32:26,,4,3,LA,4
0,2016-07-29 01:07:23,,5,3,Taipei,6
1,2016-07-29 01:08:46,,5,4,Taipei,6
2,2016-07-29 01:11:16,,5,3,Taipei,6
3,2016-07-29 01:13:23,,5,3,Taipei,6
4,2016-07-29 01:13:56,,4,3,Taipei,6
5,2016-07-29 01:17:27,,4,3,Taipei,6
6,2016-07-29 01:22:25,,3,4,Taipei,6
7,2016-07-29 01:27:55,,3,3,Taipei,6
8,2016-07-29 01:28:54,,5,2,Taipei,6
9,2016-07-29 01:29:23,,4,4,Taipei,6
10,2016-07-29 01:46:49,,5,4,Taipei,6
11,2016-07-29 21:20:05,,5,3,Taipei,6
0,2016-07-01 05:41:15,,4,3,SG,2
1,2016-07-01 08:52:52,,3,3,SG,2
2,2016-07-02 07:49:54,,3,5,SG,2
3,2016-07-03 19:14:57,,3,3,SG,2
4,2016-07-03 19:21:48,,4,4,SG,2
5,2016-07-03 19:27:27,,4,3,SG,2
6,2016-07-03 20:00:26,,3,3,SG,2
7,2016-07-04 03:03:20,,3,3,SG,2
0,2016-08-05 13:37:43,Apps,3,3,SV,7
1,2016-08-05 13:37:50,Apps,5,3,SV,7
2,2016-08-05 13:39:25,Apps,3,3,SV,7
3,2016-08-05 13:39:27,Apps,4,3,SV,7
4,2016-08-05 13:41:05,Apps,4,3,SV,7
5,2016-08-05 13:43:54,Apps,4,3,SV,7
6,2016-08-05 13:34:26,Apps,3,3,SV,7
7,2016-08-05 13:35:21,Apps,3,3,SV,7
8,2016-08-05 13:35:36,Apps,5,3,SV,7
9,2016-08-05 13:36:39,Apps,4,4,SV,7
10,2016-08-05 13:39:14,Apps,4,3,SV,7
11,2016-08-05 13:36:43,Apps,4,3,SV,7
12,2016-08-05 13:49:53,Apps,4,3,SV,7
13,2016-08-05 13:34:54,Apps,5,3,SV,7
14,2016-08-05 13:38:26,Apps,4,3,SV,7
15,2016-08-05 13:51:09,Apps,3,1,SV,7
16,2016-08-05 13:52:31,Apps,5,2,SV,7
17,2016-08-05 13:35:43,Apps,5,3,SV,7
18,2016-08-05 13:38:05,Apps,3,3,SV,7
19,2016-08-05 13:35:03,Apps,4,3,SV,7
20,2016-08-05 13:36:44,Apps,2,3,SV,7
21,2016-08-05 13:38:33,Apps,3,3,SV,7
22,2016-08-05 13:40:07,Apps,3,4,SV,7
23,2016-08-05 13:34:18,Apps,5,5,SV,7
24,2016-08-05 13:34:53,Games,5,4,SV,7
25,2016-08-05 13:38:00,Games,3,3,SV,7
26,2016-08-05 13:51:41,Games,5,3,SV,7
27,2016-08-05 13:34:04,Games,5,4,SV,7
28,2016-08-05 13:32:40,Games,5,5,SV,7
29,2016-08-05 15:07:12,Games,4,3,SV,7
30,2016-08-05 13:36:23,Games,4,3,SV,7
31,2016-08-05 13:51:20,Games,5,3,SV,7
32,2016-08-05 13:39:45,Games,4,4,SV,7
33,2016-08-05 14:44:00,Games,5,3,SV,7
34,2016-08-05 14:03:39,Games,3,3,SV,7
35,2016-08-05 13:47:15,Intro,4,4,SV,7
36,2016-08-05 13:45:29,Intro,4,3,SV,7
37,2016-08-05 13:49:31,Intro,5,3,SV,7
38,2016-08-05 13:47:02,Intro,5,3,SV,7
39,2016-08-05 13:48:45,Intro,5,3,SV,7
40,2016-08-05 13:44:33,Intro,5,3,SV,7
41,2016-08-05 13:43:43,Intro,5,4,SV,7
42,2016-08-05 13:44:24,Intro,4,4,SV,7
43,2016-08-05 13:43:17,Intro,4,3,SV,7
44,2016-08-05 13:51:18,Intro,5,3,SV,7
45,2016-08-05 13:43:35,Intro,4,2,SV,7
46,2016-08-07 17:45:06,Apps,3,3,SV,7
0,2016-08-05 11:13:01,Apps,5,5,SF,7
1,2016-08-05 11:17:11,Apps,3,3,SF,7
2,2016-08-05 11:17:52,Apps,5,3,SF,7
3,2016-08-05 11:18:01,Apps,5,4,SF,7
4,2016-08-05 11:20:15,Apps,4,3,SF,7
5,2016-08-05 11:21:10,Apps,5,3,SF,7
6,2016-08-05 12:11:04,Apps,5,3,SF,7
7,2016-08-05 19:14:21,Apps,4,4,SF,7
8,2016-08-05 11:39:18,Games,5,3,SF,7
9,2016-08-05 12:27:18,Games,5,4,SF,7
10,2016-08-05 11:20:43,Intro,4,3,SF,7
11,2016-08-05 11:38:52,Intro,4,4,SF,7
12,2016-08-05 11:56:23,Intro,5,3,SF,7
13,2016-08-05 12:35:08,Intro,5,3,SF,7
14,2016-08-07 10:45:47,Intro,4,5,SF,7
15,2016-08-05 11:21:38,VR,5,3,SF,7
16,2016-08-08 08:35:18,VR,1,3,SF,7
17,2016-08-08 08:39:01,VR,3,5,SF,7
18,2016-08-08 09:41:39,VR,2,2,SF,7
0,2016-08-05 01:39:41,,3,3,Taipei,7
1,2016-08-05 01:40:47,,4,3,Taipei,7
2,2016-08-05 01:40:50,,4,3,Taipei,7
3,2016-08-05 01:42:44,,4,4,Taipei,7
4,2016-08-05 01:45:13,,5,4,Taipei,7
5,2016-08-05 01:45:39,,4,3,Taipei,7
6,2016-08-05 01:49:21,,4,3,Taipei,7
7,2016-08-08 01:30:34,,5,3,Taipei,7
8,2016-08-08 01:33:45,,5,3,Taipei,7
9,2016-08-08 01:49:29,,5,3,Taipei,7
10,2016-08-08 01:51:00,,3,3,Taipei,7
0,2016-07-01 13:27:56,Apps,3,4,SV,2
1,2016-07-01 13:29:33,Apps,3,5,SV,2
2,2016-07-01 13:29:43,Apps,3,3,SV,2
3,2016-07-01 13:30:28,Apps,3,4,SV,2
4,2016-07-01 13:34:11,Apps,3,3,SV,2
5,2016-07-01 13:35:20,Apps,3,3,SV,2
6,2016-07-01 16:35:14,Apps,3,3,SV,2
7,2016-07-01 17:01:13,Apps,3,4,SV,2
8,2016-07-02 09:50:36,Apps,3,3,SV,2
9,2016-07-01 10:36:57,Games,3,3,SV,2
10,2016-07-01 10:41:44,Games,3,5,SV,2
11,2016-07-01 10:47:58,Games,3,3,SV,2
12,2016-07-01 10:56:51,Games,3,3,SV,2
13,2016-07-04 23:02:16,Intro,3,4,SV,2
14,2016-07-01 13:27:10,Apps,4,3,SV,2
15,2016-07-01 13:28:59,Apps,4,3,SV,2
16,2016-07-01 13:29:07,Apps,4,3,SV,2
17,2016-07-01 13:29:40,Apps,4,4,SV,2
18,2016-07-01 13:30:05,Apps,4,4,SV,2
19,2016-07-01 13:30:53,Apps,4,3,SV,2
20,2016-07-01 13:31:04,Apps,4,4,SV,2
21,2016-07-01 13:39:46,Apps,4,3,SV,2
22,2016-07-01 13:41:30,Apps,4,4,SV,2
23,2016-07-01 13:49:17,Apps,4,3,SV,2
24,2016-07-01 15:59:22,Apps,4,3,SV,2
25,2016-07-01 15:59:54,Apps,4,3,SV,2
26,2016-07-01 16:02:57,Apps,4,3,SV,2
27,2016-07-01 16:30:11,Apps,4,4,SV,2
28,2016-07-01 16:32:24,Apps,4,4,SV,2
29,2016-07-01 17:51:29,Apps,4,4,SV,2
30,2016-07-01 09:46:04,Games,4,4,SV,2
31,2016-07-01 09:47:30,Games,4,2,SV,2
32,2016-07-01 10:41:18,Games,4,3,SV,2
33,2016-07-01 10:41:34,Games,4,2,SV,2
34,2016-07-01 10:45:47,Games,4,3,SV,2
35,2016-07-01 13:12:22,Intro,4,3,SV,2
36,2016-07-01 13:19:07,Intro,4,3,SV,2
37,2016-07-01 13:25:54,Intro,4,3,SV,2
38,2016-07-01 13:28:33,Intro,4,4,SV,2
39,2016-07-01 13:29:01,Intro,4,4,SV,2
40,2016-07-01 13:33:15,Intro,4,3,SV,2
41,2016-07-01 13:33:28,Intro,4,3,SV,2
42,2016-07-01 13:29:47,Apps,5,3,SV,2
43,2016-07-01 13:30:07,Apps,5,3,SV,2
44,2016-07-01 13:32:18,Apps,5,4,SV,2
45,2016-07-01 16:01:17,Apps,5,3,SV,2
46,2016-07-01 16:02:10,Apps,5,4,SV,2
47,2016-07-01 16:04:18,Apps,5,3,SV,2
48,2016-07-01 16:44:38,Apps,5,3,SV,2
49,2016-07-01 09:41:30,Games,5,4,SV,2
50,2016-07-01 10:43:14,Games,5,2,SV,2
51,2016-07-01 10:47:06,Games,5,3,SV,2
52,2016-07-01 10:47:57,Games,5,4,SV,2
53,2016-07-01 13:25:32,Intro,5,2,SV,2
54,2016-07-01 13:26:00,Intro,5,5,SV,2
55,2016-07-01 13:28:10,Intro,5,2,SV,2
0,2016-07-29 19:18:44,,4,3,SG,6
1,2016-07-29 23:12:48,,5,5,SG,6
2,2016-07-30 05:46:01,,5,3,SG,6
3,2016-07-30 07:02:47,,4,3,SG,6
4,2016-07-31 07:40:14,,3,5,SG,6
5,2016-07-31 08:34:29,,5,3,SG,6
0,2016-07-01 06:41:31,Apps,3,2,NY,2
1,2016-07-01 09:27:32,Apps,3,4,NY,2
2,2016-07-01 06:46:34,Games,3,5,NY,2
3,2016-07-01 06:47:56,Games,3,3,NY,2
4,2016-07-01 06:33:45,Apps,4,3,NY,2
5,2016-07-01 06:35:15,Apps,4,4,NY,2
6,2016-07-01 06:36:41,Apps,4,3,NY,2
7,2016-07-01 06:41:43,Apps,4,3,NY,2
8,2016-07-01 07:00:39,Apps,4,2,NY,2
9,2016-07-01 08:58:54,Apps,4,4,NY,2
10,2016-07-01 10:32:25,Apps,4,3,NY,2
11,2016-07-01 06:30:49,Games,4,4,NY,2
12,2016-07-01 06:43:54,Games,4,4,NY,2
13,2016-07-01 07:02:22,Games,4,4,NY,2
14,2016-07-01 06:27:37,Intro,4,3,NY,2
15,2016-07-01 06:31:09,Intro,4,3,NY,2
16,2016-07-01 06:31:31,Intro,4,4,NY,2
17,2016-07-01 06:46:33,Intro,4,3,NY,2
18,2016-07-01 06:27:51,Apps,5,3,NY,2
19,2016-07-01 06:30:01,Apps,5,3,NY,2
20,2016-07-01 06:30:05,Apps,5,3,NY,2
21,2016-07-01 06:33:55,Apps,5,4,NY,2
22,2016-07-01 06:36:10,Apps,5,3,NY,2
23,2016-07-01 06:41:54,Apps,5,4,NY,2
24,2016-07-01 06:27:48,Games,5,4,NY,2
25,2016-07-01 06:31:02,Intro,5,3,NY,2
26,2016-07-01 06:31:12,Intro,5,3,NY,2
27,2016-07-01 06:36:15,Intro,5,3,NY,2
0,2016-08-05 12:34:16,Apps,3,3,NY,7
1,2016-08-05 12:35:50,Apps,5,3,NY,7
2,2016-08-05 12:36:31,Games,5,3,NY,7
3,2016-08-05 12:36:55,Games,4,3,NY,7
4,2016-08-05 12:37:12,Apps,4,3,NY,7
5,2016-08-05 12:37:15,Intro,4,4,NY,7
6,2016-08-05 12:39:02,Apps,5,3,NY,7
7,2016-08-05 12:39:13,Games,5,4,NY,7
8,2016-08-05 12:43:00,Games,4,3,NY,7
9,2016-08-05 12:43:35,Apps,4,3,NY,7
10,2016-08-05 12:45:05,Intro,5,3,NY,7
11,2016-08-05 12:45:58,Games,3,3,NY,7
12,2016-08-05 12:46:09,Games,5,4,NY,7
13,2016-08-05 13:04:11,Apps,4,3,NY,7
14,2016-08-05 13:13:02,Intro,4,3,NY,7
15,2016-08-05 13:37:41,Apps,4,3,NY,7
16,2016-08-05 13:39:55,Intro,5,4,NY,7
0,2016-07-22 13:29:33,Apps,5,5,NY,5
1,2016-07-22 13:35:20,Apps,5,3,NY,5
2,2016-07-22 13:36:39,Apps,4,3,NY,5
3,2016-07-22 13:37:15,Apps,4,3,NY,5
4,2016-07-22 13:40:21,Apps,5,3,NY,5
5,2016-07-22 13:44:52,Apps,4,4,NY,5
6,2016-07-22 13:50:50,Games,3,5,NY,5
7,2016-07-22 13:50:50,Apps,4,4,NY,5
8,2016-07-22 13:51:22,Apps,5,4,NY,5
9,2016-07-22 13:51:35,Games,4,3,NY,5
10,2016-07-22 13:51:36,Apps,4,3,NY,5
11,2016-07-22 13:51:44,Games,4,4,NY,5
12,2016-07-22 13:52:05,Intro,4,3,NY,5
13,2016-07-22 13:52:19,Apps,4,3,NY,5
14,2016-07-22 13:52:41,Games,5,3,NY,5
15,2016-07-22 13:53:19,Apps,4,3,NY,5
16,2016-07-22 13:53:31,Games,5,3,NY,5
17,2016-07-22 13:53:56,Apps,4,3,NY,5
18,2016-07-22 13:54:46,Games,5,3,NY,5
19,2016-07-22 13:54:52,Apps,5,3,NY,5
20,2016-07-22 13:57:13,Games,4,3,NY,5
0,2016-07-22 16:15:37,Games,3,2,LA,5
1,2016-07-22 16:16:07,Intro,4,3,LA,5
2,2016-07-22 16:16:20,Intro,5,3,LA,5
3,2016-07-22 16:17:04,Games,4,3,LA,5
